Id,SalePrice
1461,131340.88375532502
1462,162076.61436523314
1463,167386.80204174263
1464,187171.84154747313
1465,226899.58432228558
1466,183085.93998233014
1467,167590.49837197099
1468,174143.30822977654
1469,202140.5677502588
1470,103263.06821610636
1471,209360.0003262996
1472,126508.11528204085
1473,113778.20952429058
1474,171045.3950264216
1475,156002.36374389543
1476,319935.50602735276
1477,265245.5543355016
1478,289169.7405401913
1479,274037.8895904798
1480,370334.9509771527
1481,294018.97511268535
1482,234507.84424022466
1483,182553.2603620452
1484,188691.72188736993
1485,185231.39209617587
1486,213447.84265895092
1487,311584.75899589027
1488,270029.60401817586
1489,215047.33584650632
1490,202646.99860986977
1491,217195.91153767591
1492,110236.8866854241
1493,183318.48354077523
1494,286349.3089094289
1495,281012.61904143065
1496,223851.5514582077
1497,223631.13895023978
1498,190692.0639202256
1499,190692.0639202256
1500,171568.96806156583
1501,184338.6107790573
1502,183874.87086647062
1503,263017.55784065067
1504,254398.55048896393
1505,227553.49159480768
1506,210753.81560587222
1507,246777.75420139512
1508,211993.90688866688
1509,176291.90503187673
1510,145358.46892242125
1511,144431.03929105954
1512,165995.64195440616
1513,177191.4222786938
1514,155213.6897366421
1515,193242.94524418758
1516,165829.6990573318
1517,150394.40782639608
1518,171874.42620894985
1519,224250.5289679157
1520,128310.49312077704
1521,132806.82579660366
1522,178671.83784961657
1523,106890.27787896604
1524,116732.24652253793
1525,115011.52194196315
1526,115305.96003267664
1527,90717.85124747703
1528,141439.75674143856
1529,138994.06208465007
1530,174327.5689500133
1531,109456.27068249063
1532,87903.73086178661
1533,154963.83443334236
1534,139666.54825670394
1535,144521.93073898202
1536,118762.20836624768
1537,51113.604618435405
1538,187699.6277271587
1539,221365.7462559621
1540,145691.20813139042
1541,160273.02909172137
1542,142975.60888060177
1543,197336.831190936
1544,59892.544312350365
1545,123693.79174980908
1546,141916.10783778282
1547,123620.20851627958
1548,147448.78244868328
1549,113069.3731544769
1550,136217.27330131046
1551,133692.48671867358
1552,139577.5780399347
1553,132987.0584894202
1554,130473.64752673334
1555,158672.1161551009
1556,98200.75050954448
1557,114054.26038287775
1558,119841.18291330864
1559,103241.2619091566
1560,139580.47960467287
1561,146012.63724497362
1562,121175.90205447082
1563,114278.38266504585
1564,166019.32703555108
1565,148238.0129254741
1566,213413.65465729652
1567,76161.28993017622
1568,202532.28360705366
1569,102909.28582527945
1570,138281.86049742275
1571,106684.6969623116
1572,128955.17242430183
1573,223939.05124762162
1574,146616.33275559376
1575,214469.63526681773
1576,225804.78449163013
1577,205837.54016075007
1578,144642.05869954568
1579,137159.00622276272
1580,211937.87709799918
1581,123786.43075943313
1582,119828.00408700504
1583,287096.3996741397
1584,239730.90130782404
1585,147468.02144560587
1586,27949.30702696783
1587,101992.44845710663
1588,134313.44610081203
1589,99583.50633099137
1590,150179.28025793703
1591,77782.59963805901
1592,122588.99976127403
1593,129437.00835571974
1594,147457.72298171808
1595,126551.20342050961
1596,217135.32199357814
1597,177914.16366548426
1598,198227.179827537
1599,202931.0891791682
1600,211642.72638267608
1601,9303.144518795918
1602,136781.90975993007
1603,66762.90953573104
1604,249106.05816758945
1605,260934.09013412302
1606,172128.2595118264
1607,236997.11139370236
1608,223378.62844593488
1609,208446.98564485114
1610,153480.18736169193
1611,144498.6692321129
1612,178505.71671445467
1613,173661.81919971813
1614,116442.0679064219
1615,81361.09139111216
1616,81361.09139111216
1617,95299.77279126857
1618,115662.13298143513
1619,124402.31496933094
1620,214963.8311186124
1621,147606.12235646535
1622,140431.10478473373
1623,254947.99820693795
1624,207293.78622322393
1625,139531.9743238835
1626,185069.48839900413
1627,187387.4181062741
1628,273190.94328235125
1629,194052.39566698662
1630,312540.8040146951
1631,240903.65947189854
1632,257078.74924681996
1633,183244.5029761075
1634,187853.71010476293
1635,174200.01349709326
1636,168826.2256668641
1637,182632.6187530317
1638,225961.5402008126
1639,196612.235488585
1640,256851.80571453707
1641,192251.26966601607
1642,234495.86066596376
1643,257156.78695415563
1644,252042.12131472476
1645,175584.78499356122
1646,164185.0860042475
1647,189672.32442655202
1648,142656.8043708482
1649,127468.80740646811
1650,104386.80133254698
1651,104751.18862209516
1652,127236.88986113732
1653,127981.02622090877
1654,174786.8271620271
1655,177127.9411242604
1656,171774.16960551802
1657,175515.60174112357
1658,172138.55689506626
1659,158075.7249928115
1660,140134.6965488847
1661,344176.65943556663
1662,337658.00347765896
1663,319967.14895847207
1664,378489.9055518337
1665,297667.13968132285
1666,282667.86728209024
1667,300121.8984960712
1668,302360.07637488446
1669,276168.1846626983
1670,302639.5916144275
1671,243461.73626021467
1672,347248.4389775791
1673,288362.0406213291
1674,268370.7853968876
1675,190889.5405330506
1676,193797.16508769806
1677,212671.33327211774
1678,374476.5428167584
1679,299501.90681474144
1680,299251.0580221412
1681,264776.8934002415
1682,266478.9095402099
1683,214316.54131559926
1684,196094.3078762732
1685,176950.19575243015
1686,191612.62700880473
1687,185231.39209617587
1688,209068.67836554084
1689,206798.34074779812
1690,198514.5620993692
1691,189416.98615560675
1692,257165.08390827922
1693,185231.39209617587
1694,177373.49715595358
1695,186098.775559854
1696,256560.6443520978
1697,186560.66041373723
1698,311921.81191929826
1699,291615.3959055877
1700,243432.60364804955
1701,273126.3288736538
1702,282284.32006892085
1703,267423.0936063274
1704,276418.43319578853
1705,241113.36259569295
1706,347918.4535417324
1707,222812.67238061424
1708,224919.8832165393
1709,292329.85849070235
1710,250098.72739890023
1711,261284.37316014737
1712,270849.8452933972
1713,245752.9935010257
1714,231723.07422014893
1715,223246.05743083873
1716,209260.31045374242
1717,199376.875166579
1718,156239.9838775201
1719,224348.04356326224
1720,261928.8835771903
1721,201049.62178566263
1722,132012.39087660582
1723,158252.57117073107
1724,235294.2164289706
1725,241653.82586735775
1726,196742.68639901103
1727,188080.89074183253
1728,206773.41470601145
1729,172940.72373520836
1730,187255.86432578063
1731,125573.45706603312
1732,132604.86703373003
1733,119117.82930034
1734,124312.67563002126
1735,116665.22829404144
1736,114083.79370585378
1737,290174.53330856527
1738,219659.31056917124
1739,303562.2379845531
1740,222921.32197954346
1741,192184.6798475246
1742,184338.6107790573
1743,204030.6587874168
1744,256927.44522391233
1745,235605.57406340094
1746,263331.08327353606
1747,235465.32047682835
1748,230465.6345512592
1749,154022.34294850638
1750,160338.73613063648
1751,238162.54444214897
1752,112316.21098407707
1753,166408.5185253443
